variable,search_domain,forecast_domain,anomaly_search,reference_date,forecast_date,forecast_error
msl,alaska,north_pacific,True,2011-11-06,2011-11-15,1276.572
msl,alaska,north_pacific,True,2011-11-06,2011-11-16,1431.083
msl,alaska,north_pacific,True,2011-11-06,2011-11-17,1307.632
msl,alaska,north_pacific,True,2011-11-06,2011-11-18,1096.583
msl,alaska,north_pacific,True,2011-11-06,2011-11-19,1087.334
msl,alaska,north_pacific,True,2011-11-06,2011-11-20,851.259
msl,alaska,northern_hs,False,2004-10-06,2004-10-07,682.31
msl,alaska,northern_hs,False,2004-10-06,2004-10-08,672.08
msl,alaska,northern_hs,False,2004-10-06,2004-10-09,678.085
msl,alaska,northern_hs,False,2004-10-06,2004-10-10,774.411
msl,alaska,northern_hs,False,2004-10-06,2004-10-11,819.459
msl,alaska,northern_hs,False,2004-10-06,2004-10-12,818.91
msl,alaska,northern_hs,False,2004-10-06,2004-10-13,828.684
msl,alaska,northern_hs,False,2004-10-06,2004-10-14,966.674
msl,alaska,northern_hs,False,2004-10-06,2004-10-15,954.212
msl,alaska,northern_hs,False,2004-10-06,2004-10-16,873.051
msl,alaska,northern_hs,False,2004-10-06,2004-10-17,966.001
msl,alaska,northern_hs,False,2004-10-06,2004-10-18,1007.918
msl,alaska,northern_hs,False,2004-10-06,2004-10-19,992.238
msl,alaska,northern_hs,False,2004-10-06,2004-10-20,836.715
msl,alaska,northern_hs,False,2004-10-08,2004-10-09,597.972
msl,alaska,northern_hs,False,2004-10-08,2004-10-10,609.233
msl,alaska,northern_hs,False,2004-10-08,2004-10-11,697.832
msl,alaska,northern_hs,False,2004-10-08,2004-10-12,802.059
msl,alaska,northern_hs,False,2004-10-08,2004-10-13,926.199
msl,alaska,northern_hs,False,2004-10-08,2004-10-14,1076.967
msl,alaska,northern_hs,False,2004-10-08,2004-10-15,1076.293
msl,alaska,northern_hs,False,2004-10-08,2004-10-16,959.318
msl,alaska,northern_hs,False,2004-10-08,2004-10-17,940.188
msl,alaska,northern_hs,False,2004-10-08,2004-10-18,998.394
msl,alaska,northern_hs,False,2004-10-08,2004-10-19,1020.377
msl,alaska,northern_hs,False,2004-10-08,2004-10-20,864.36
msl,alaska,northern_hs,False,2004-10-08,2004-10-21,834.947
msl,alaska,northern_hs,False,2004-10-08,2004-10-22,810.035
msl,alaska,northern_hs,False,2011-11-04,2011-11-05,747.477
msl,alaska,northern_hs,False,2011-11-04,2011-11-06,788.687
msl,alaska,northern_hs,False,2011-11-04,2011-11-07,757.045
msl,alaska,northern_hs,False,2011-11-04,2011-11-08,883.475
msl,alaska,northern_hs,False,2011-11-04,2011-11-09,957.596
msl,alaska,northern_hs,False,2011-11-04,2011-11-10,942.328
msl,alaska,northern_hs,False,2011-11-04,2011-11-11,930.752
msl,alaska,northern_hs,False,2011-11-04,2011-11-12,1007.419
msl,alaska,northern_hs,False,2011-11-04,2011-11-13,1015.034
msl,alaska,northern_hs,False,2011-11-04,2011-11-14,958.959
msl,alaska,northern_hs,False,2011-11-04,2011-11-15,872.096
msl,alaska,northern_hs,False,2011-11-04,2011-11-16,777.45
msl,alaska,northern_hs,False,2011-11-04,2011-11-17,866.337
msl,alaska,northern_hs,False,2011-11-04,2011-11-18,880.509
msl,alaska,northern_hs,False,2011-11-06,2011-11-07,862.979
msl,alaska,northern_hs,False,2011-11-06,2011-11-08,842.38
msl,alaska,northern_hs,False,2011-11-06,2011-11-09,900.184
msl,alaska,northern_hs,False,2011-11-06,2011-11-10,933.772
msl,alaska,northern_hs,False,2011-11-06,2011-11-11,963.541
msl,alaska,northern_hs,False,2011-11-06,2011-11-12,999.846
msl,alaska,northern_hs,False,2011-11-06,2011-11-13,970.374
msl,alaska,northern_hs,False,2011-11-06,2011-11-14,913.706
msl,alaska,northern_hs,False,2011-11-06,2011-11-15,846.965
msl,alaska,northern_hs,False,2011-11-06,2011-11-16,878.706
msl,alaska,northern_hs,False,2011-11-06,2011-11-17,925.027
msl,alaska,northern_hs,False,2011-11-06,2011-11-18,830.09
msl,alaska,northern_hs,False,2011-11-06,2011-11-19,873.623
msl,alaska,northern_hs,False,2011-11-06,2011-11-20,896.998
msl,alaska,northern_hs,True,2004-10-06,2004-10-07,704.854
msl,alaska,northern_hs,True,2004-10-06,2004-10-08,682.8
msl,alaska,northern_hs,True,2004-10-06,2004-10-09,668.439
msl,alaska,northern_hs,True,2004-10-06,2004-10-10,738.803
msl,alaska,northern_hs,True,2004-10-06,2004-10-11,824.974
msl,alaska,northern_hs,True,2004-10-06,2004-10-12,811.858
msl,alaska,northern_hs,True,2004-10-06,2004-10-13,765.589
msl,alaska,northern_hs,True,2004-10-06,2004-10-14,890.157
msl,alaska,northern_hs,True,2004-10-06,2004-10-15,904.759
msl,alaska,northern_hs,True,2004-10-06,2004-10-16,844.456
msl,alaska,northern_hs,True,2004-10-06,2004-10-17,913.164
msl,alaska,northern_hs,True,2004-10-06,2004-10-18,938.492
msl,alaska,northern_hs,True,2004-10-06,2004-10-19,928.801
msl,alaska,northern_hs,True,2004-10-06,2004-10-20,818.705
msl,alaska,northern_hs,True,2004-10-08,2004-10-09,612.329
msl,alaska,northern_hs,True,2004-10-08,2004-10-10,666.956
msl,alaska,northern_hs,True,2004-10-08,2004-10-11,696.618
msl,alaska,northern_hs,True,2004-10-08,2004-10-12,740.808
